condition,trials,successes,camera_rate_passes,pose_availability_percent_mean,localization_rmse_cm_mean,touchdown_error_cm_mean,touchdown_error_cm_n,worst_low_altitude_linf_cm,min_camera_source_hz,max_pose_age_p95_ms
proposed-pad-6,3,3,3,100.0,7.949255102821759,1.3115935457039227,3,2.5498375296592712,59.956087117445406,92.6533222198486
proposed-pad-7,3,2,3,90.74074074074075,7.69425987657858,1.3825898089003816,2,167.56200790405273,60.03731960124402,86.71085834503172
proposed-pad-8,3,3,3,100.0,5.801547611483639,1.5265311084299003,3,1.711423322558403,59.970681661401436,89.05249834060669
