[rosmaster.master][INFO] 2026-09-20 00:18:30,869: +SERVICE [/flight_safety_response/get_loggers] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,870: +SERVICE [/flight_safety_response/set_logger_level] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,875: +PUB [/mavros/setpoint_raw/local] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,876: +PUB [/flight_safety/state] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,877: +SUB [/flight_safety/fault] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,878: +SUB [/mavros/state] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,879: +SUB [/mavros/rc/in] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,881: +SUB [/local_controller/setpoint_raw/local] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,884: +SUB [/mavros/imu/data] /flight_safety_response http://127.0.0.1:43579/
[rosmaster.master][INFO] 2026-09-20 00:18:30,885: +CACHEDPARAM [/rosout_disable_topics_generation] by /flight_safety_response
[rosmaster.master][INFO] 2026-09-20 00:18:30,904: publisherUpdate[/rosout] -> http://127.0.0.1:42857/ ['http://192.168.50.12:41315/', 'http://127.0.0.1:34387/', 'http://127.0.0.1:43579/']
[rosmaster.master][INFO] 2026-09-20 00:18:30,904: publisherUpdate[/mavros/setpoint_raw/local] -> http://192.168.50.12:41315/ ['http://127.0.0.1:43579/']
[rosmaster.master][INFO] 2026-09-20 00:18:30,906: publisherUpdate[/rosout] -> http://127.0.0.1:42857/ ['http://192.168.50.12:41315/', 'http://127.0.0.1:34387/', 'http://127.0.0.1:43579/']: sec=0.00, result=[1, '', 0]
