round,config,posRMSE,posMax,att_r,att_p,att_y,n,coverage,gt_dist,valid,converged,acc_cov,gyr_cov,b_acc_cov,b_gyr_cov,imu_int_frame,img_point_cov,patch_size,patch_pyr_level,vio_max_iter,inv_expo_cov,exposure_est_en,imu_time_offset,img_time_offset,lidar_time_offset,dept_err,beam_err,dept_err_rel,min_eigen_value,voxel_size,max_layer,max_points_num,lio_max_iter,point_filter_num,filter_size_surf,blind,gravity_align_en
v7,fs020_vox05_v1000_be010_pf1_mp100_ga0,0.1726,0.3953,0.949,0.539,1.358,457,0.935,5.041,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.5,1,100,5,1,0.2,0.2,False
v7,fs020_vox03_v1000_be005_pf1_mp100_ga1,0.173,0.4157,1.039,0.48,1.236,457,0.949,5.033,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,1,0.2,0.2,True
v6,imlo_v100_l005_d01_vox08_fs020_ml2,0.1735,0.5365,0.937,1.108,2.894,451,0.935,5.047,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.8,2,50,5,1,0.2,0.2,True
v7,fs020_vox05_v100_be010_pf3_mp50_ga1,0.1737,0.3678,0.98,0.588,1.246,457,0.935,5.035,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.5,1,50,5,3,0.2,0.2,True
v7,fs020_vox03_v1000_be010_pf1_mp100_ga1,0.1745,0.3881,1.035,0.522,1.467,457,0.935,5.038,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,100,5,1,0.2,0.2,True
v6,imlo_v1000_l005_d00_vox05_fs020_ml2,0.1748,0.3809,1.272,0.704,1.38,451,0.936,5.034,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.0,0.0025,0.5,2,50,5,1,0.2,0.2,True
v5,hi_v1000_blo_l005_d02,0.175,0.4352,1.682,0.828,2.353,457,0.948,5.034,1,1,1.5,1.0,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.02,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs015_vox03_v1000_be010_pf3_mp50_ga1,0.176,0.3836,0.943,0.656,1.274,459,0.937,5.032,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,3,0.15,0.2,True
v8,fs015_vox025_mp50_ps4_pl4_if20,0.1776,0.4762,1.656,1.014,1.569,452,0.926,5.034,1,1,0.1,0.1,0.0005,0.0005,20,100,4,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,50,5,3,0.15,0.2,True
v7,fs015_vox03_v1000_be010_pf3_mp50_ga0,0.178,0.3887,0.91,0.541,1.535,459,0.949,5.039,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,3,0.15,0.2,False
v7,fs015_vox05_v100_be002_pf3_mp100_ga0,0.1782,0.4739,0.972,0.712,1.546,458,0.949,5.038,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,100,5,3,0.15,0.2,False
v6,imlo_v100_l005_d01_vox03_fs020_ml2,0.1785,0.5538,1.524,2.396,17.728,457,0.937,5.042,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,2,50,5,1,0.2,0.2,True
v7,fs025_vox05_v1000_be002_pf3_mp100_ga1,0.1788,0.368,0.861,0.506,1.69,457,0.948,5.045,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,100,5,3,0.25,0.2,True
v7,fs020_vox03_v1000_be010_pf1_mp50_ga0,0.1789,0.371,0.969,0.523,1.354,458,0.937,5.042,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,1,0.2,0.2,False
v7,fs025_vox05_v100_be002_pf1_mp100_ga1,0.1791,0.5664,0.991,0.636,1.393,457,0.935,5.038,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,100,5,1,0.25,0.2,True
v7,fs015_vox03_v1000_be005_pf1_mp100_ga0,0.1792,0.362,1.035,0.551,1.432,458,0.936,5.036,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,1,0.15,0.2,False
v7,fs020_vox05_v100_be010_pf3_mp50_ga0,0.18,0.7695,1.197,0.738,1.571,450,0.921,5.038,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.5,1,50,5,3,0.2,0.2,False
v7,fs015_vox05_v100_be002_pf3_mp50_ga0,0.1802,0.4832,0.821,0.598,1.631,457,0.948,5.035,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,50,5,3,0.15,0.2,False
v6,imlo_v100_l010_d00_vox03_fs020_ml3,0.1806,0.5213,1.609,2.084,6.547,449,0.932,5.033,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.0,0.0025,0.3,3,50,5,1,0.2,0.2,True
v8,fs020_vox040_mp50_ps4_pl4_if30,0.1807,0.5039,1.102,0.694,1.953,452,0.922,5.044,1,1,0.1,0.1,0.0005,0.0005,30,100,4,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.4,1,50,5,3,0.2,0.2,True
v6,imlo_v1000_l010_d01_vox05_fs005_ml2,0.1808,0.3777,1.412,1.267,3.423,457,0.935,5.036,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.05,0.2,True
v7,fs025_vox05_v1000_be005_pf3_mp50_ga0,0.1816,0.3517,0.894,0.606,1.218,453,0.926,5.034,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,1,50,5,3,0.25,0.2,False
v7,fs015_vox03_v1000_be010_pf1_mp100_ga1,0.1817,0.3622,1.22,0.639,1.55,458,0.937,5.032,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,100,5,1,0.15,0.2,True
v7,fs020_vox05_v1000_be002_pf3_mp100_ga1,0.1818,0.4522,0.544,0.686,1.967,458,0.938,5.034,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,100,5,3,0.2,0.2,True
v8,fs018_vox040_mp50_ps8_pl4_if20,0.1821,0.4365,1.689,0.947,1.478,459,0.936,5.035,1,1,0.1,0.1,0.0005,0.0005,20,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.4,1,50,5,3,0.18,0.2,True
v7,fs020_vox03_v1000_be005_pf1_mp100_ga0,0.1823,0.4118,0.816,0.768,1.861,457,0.948,5.041,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,1,0.2,0.2,False
v5,hi_v1000_blo_l000_d01,0.1824,0.4133,1.856,1.67,1.412,458,0.949,5.035,1,1,1.5,1.0,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,0.0,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs015_vox03_v100_be005_pf3_mp100_ga0,0.1829,0.4165,1.217,1.559,7.107,462,0.937,5.036,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,3,0.15,0.2,False
v5,hi_v1000_bhi_l000_d01,0.1834,0.4143,1.848,1.663,1.715,457,0.946,5.045,1,1,1.5,1.0,0.005,0.005,30,1000,8,4,5,0.1,True,0.0,0.0,0.0,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs025_vox03_v1000_be002_pf1_mp50_ga0,0.184,0.4382,0.722,0.512,1.402,457,0.945,5.035,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.3,1,50,5,1,0.25,0.2,False
v7,fs015_vox03_v1000_be002_pf3_mp100_ga0,0.1841,0.3497,0.985,0.549,1.378,451,0.923,5.037,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.3,1,100,5,3,0.15,0.2,False
v7,fs015_vox05_v100_be002_pf1_mp50_ga1,0.1841,0.4325,1.609,0.814,1.203,452,0.926,5.035,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,50,5,1,0.15,0.2,True
v5,lo_v100_bhi_l010_d03,0.1843,0.5067,1.627,0.738,1.384,452,0.936,5.034,1,1,0.1,0.1,0.005,0.005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.03,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs025_vox03_v100_be010_pf1_mp50_ga0,0.1847,0.4262,1.208,0.61,1.063,457,0.935,5.034,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,1,0.25,0.2,False
v7,fs020_vox05_v1000_be005_pf3_mp100_ga1,0.1858,0.3891,1.154,0.673,1.741,458,0.936,5.037,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,1,100,5,3,0.2,0.2,True
v7,fs020_vox05_v1000_be002_pf3_mp50_ga1,0.1861,0.521,0.695,0.948,2.333,458,0.937,5.033,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,50,5,3,0.2,0.2,True
v7,fs015_vox03_v1000_be005_pf3_mp50_ga1,0.1871,0.4216,0.968,0.57,1.427,451,0.923,5.037,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,3,0.15,0.2,True
v8,fs018_vox030_mp100_ps8_pl4_if30,0.1881,0.6852,1.455,0.764,1.121,457,0.935,5.037,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,3,0.18,0.2,True
v5,mid_v100_bhi_l010_d03,0.1887,0.5336,2.039,1.322,4.279,451,0.936,5.039,1,1,0.5,0.3,0.005,0.005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.03,0.0025,0.5,2,50,5,1,0.1,0.2,True
v5,hi_v1000_bmid_l000_d01,0.1893,0.3998,2.038,2.386,1.652,452,0.935,5.029,1,1,1.5,1.0,0.001,0.001,30,1000,8,4,5,0.1,True,0.0,0.0,0.0,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v8,fs018_vox025_mp50_ps8_pl4_if20,0.1897,0.6187,1.308,0.779,1.532,457,0.948,5.034,1,1,0.1,0.1,0.0005,0.0005,20,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,50,5,3,0.18,0.2,True
v7,fs020_vox03_v1000_be002_pf1_mp50_ga0,0.1899,0.393,0.873,0.668,1.478,451,0.936,5.034,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.3,1,50,5,1,0.2,0.2,False
v7,fs015_vox05_v1000_be005_pf1_mp100_ga1,0.1905,0.4087,1.288,0.544,1.471,458,0.95,5.035,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,1,100,5,1,0.15,0.2,True
v7,fs015_vox03_v100_be005_pf1_mp50_ga0,0.1907,0.5885,0.842,0.541,1.333,459,0.934,5.038,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,1,0.15,0.2,False
v5,mid_v100_blo_l010_d03,0.1916,0.5515,1.897,0.957,2.069,458,0.934,5.035,1,1,0.5,0.3,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.03,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs015_vox03_v1000_be005_pf1_mp100_ga1,0.1921,0.3495,1.222,0.672,1.431,457,0.947,5.044,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,1,0.15,0.2,True
v7,fs020_vox03_v1000_be010_pf1_mp100_ga0,0.1922,0.4455,1.127,1.033,1.056,457,0.936,5.037,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,100,5,1,0.2,0.2,False
v7,fs020_vox03_v100_be005_pf1_mp100_ga1,0.1924,0.452,1.379,1.575,4.593,458,0.95,5.042,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,1,0.2,0.2,True
v8,fs018_vox030_mp50_ps4_pl4_if20,0.193,0.5781,1.198,0.518,1.674,458,0.937,5.033,1,1,0.1,0.1,0.0005,0.0005,20,100,4,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,3,0.18,0.2,True
v5,hi_v1000_bhi_l000_d02,0.1931,0.5167,1.964,2.13,2.164,457,0.935,5.042,1,1,1.5,1.0,0.005,0.005,30,1000,8,4,5,0.1,True,0.0,0.0,0.0,0.02,0.05,0.02,0.0025,0.5,2,50,5,1,0.1,0.2,True
v6,imlo_v1000_l010_d01_vox05_fs005_ml3,0.1943,0.4085,1.398,1.292,5.29,459,0.938,5.043,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,3,50,5,1,0.05,0.2,True
v6,imlo_v1000_l005_d00_vox03_fs020_ml3,0.1949,0.4395,1.38,0.692,4.548,459,0.937,5.035,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.0,0.0025,0.3,3,50,5,1,0.2,0.2,True
v7,fs015_vox05_v1000_be002_pf3_mp100_ga1,0.1953,0.4095,1.412,0.742,1.565,452,0.937,5.033,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,100,5,3,0.15,0.2,True
v7,fs025_vox05_v100_be005_pf3_mp100_ga0,0.1953,0.5191,1.236,0.563,1.113,457,0.935,5.034,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,1,100,5,3,0.25,0.2,False
v7,fs020_vox03_v1000_be005_pf3_mp50_ga1,0.1955,0.5388,0.596,0.619,1.328,458,0.936,5.04,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,3,0.2,0.2,True
v7,fs020_vox05_v1000_be010_pf3_mp50_ga0,0.1956,0.3707,0.623,0.565,1.455,450,0.921,5.035,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.5,1,50,5,3,0.2,0.2,False
v8,fs015_vox040_mp50_ps4_pl4_if50,0.1981,0.4458,1.195,0.682,1.304,450,0.921,5.036,1,1,0.1,0.1,0.0005,0.0005,50,100,4,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.4,1,50,5,3,0.15,0.2,True
v6,imlo_v1000_l010_d00_vox05_fs020_ml1,0.1988,0.3751,1.342,0.566,2.858,452,0.938,5.04,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.0,0.0025,0.5,1,50,5,1,0.2,0.2,True
v6,imlo_v100_l005_d01_vox03_fs020_ml1,0.1991,0.5301,1.731,2.254,19.151,461,0.937,5.031,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,1,0.2,0.2,True
v6,imlo_v100_l010_d00_vox08_fs020_ml3,0.1992,0.4643,0.902,1.11,3.568,450,0.92,5.04,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.0,0.0025,0.8,3,50,5,1,0.2,0.2,True
v6,imlo_v1000_l010_d01_vox03_fs020_ml1,0.1996,0.5179,1.329,0.712,4.397,457,0.934,5.035,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.3,1,50,5,1,0.2,0.2,True
v7,fs015_vox03_v100_be010_pf1_mp50_ga0,0.1998,0.6869,1.416,1.308,13.246,459,0.936,5.046,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,1,0.15,0.2,False
v5,hi_v1000_blo_l005_d01,0.2002,0.4249,1.88,0.91,1.874,457,0.935,5.035,1,1,1.5,1.0,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v5,hi_v1000_bmid_l005_d01,0.2012,0.4268,1.891,0.924,1.819,452,0.936,5.033,1,1,1.5,1.0,0.001,0.001,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs025_vox03_v100_be005_pf3_mp50_ga0,0.2015,0.4766,1.047,0.531,1.627,457,0.935,5.034,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,3,0.25,0.2,False
v7,fs020_vox03_v1000_be010_pf3_mp50_ga0,0.2021,0.3951,1.139,0.522,1.418,457,0.935,5.044,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,3,0.2,0.2,False
v5,mid_v100_blo_l010_d01,0.2028,0.4831,1.826,0.842,1.657,460,0.933,5.034,1,1,0.5,0.3,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs025_vox05_v100_be002_pf1_mp50_ga0,0.2028,0.5027,1.072,0.952,1.619,459,0.947,5.037,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.5,1,50,5,1,0.25,0.2,False
v5,hi_v1000_bhi_l005_d01,0.203,0.4273,1.88,0.906,1.932,458,0.948,5.034,1,1,1.5,1.0,0.005,0.005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v5,hi_v1000_blo_l000_d02,0.2035,0.4162,2.072,1.676,1.673,452,0.939,5.038,1,1,1.5,1.0,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,0.0,0.02,0.05,0.02,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs025_vox03_v1000_be010_pf1_mp50_ga0,0.2042,0.4774,0.991,0.56,1.692,457,0.935,5.036,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,50,5,1,0.25,0.2,False
v7,fs020_vox05_v1000_be005_pf3_mp50_ga1,0.2047,0.4536,1.359,0.734,1.52,451,0.936,5.042,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,1,50,5,3,0.2,0.2,True
v6,imlo_v1000_l005_d01_vox05_fs020_ml3,0.205,0.4262,1.226,0.572,2.012,457,0.935,5.033,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,3,50,5,1,0.2,0.2,True
v8,fs015_vox025_mp50_ps8_pl4_if20,0.2052,0.5474,1.379,1.574,2.971,457,0.935,5.037,1,1,0.1,0.1,0.0005,0.0005,20,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,50,5,3,0.15,0.2,True
v7,fs015_vox03_v1000_be005_pf3_mp100_ga0,0.2068,0.4491,1.307,0.763,2.377,459,0.935,5.037,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,3,0.15,0.2,False
v5,hi_v1000_bmid_l005_d02,0.2069,0.4525,1.564,0.882,2.344,452,0.934,5.036,1,1,1.5,1.0,0.001,0.001,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.02,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs025_vox03_v1000_be010_pf3_mp100_ga0,0.2089,0.3984,0.781,0.526,1.581,451,0.933,5.034,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,100,5,3,0.25,0.2,False
v8,fs015_vox030_mp100_ps4_pl4_if50,0.2089,0.5761,1.047,0.516,1.643,457,0.935,5.034,1,1,0.1,0.1,0.0005,0.0005,50,100,4,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,3,0.15,0.2,True
v6,imlo_v100_l010_d00_vox08_fs020_ml2,0.2093,0.5091,1.074,0.954,1.982,458,0.936,5.04,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.0,0.0025,0.8,2,50,5,1,0.2,0.2,True
v7,fs015_vox03_v100_be002_pf1_mp100_ga0,0.2098,0.3901,1.075,0.766,1.508,457,0.933,5.041,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.3,1,100,5,1,0.15,0.2,False
v5,hi_v1000_bhi_l000_d03,0.2104,0.4709,2.375,2.766,4.203,458,0.937,5.04,1,1,1.5,1.0,0.005,0.005,30,1000,8,4,5,0.1,True,0.0,0.0,0.0,0.02,0.05,0.03,0.0025,0.5,2,50,5,1,0.1,0.2,True
v5,lo_v100_bhi_l010_d01,0.2104,0.567,1.681,0.729,1.429,451,0.934,5.047,1,1,0.1,0.1,0.005,0.005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs020_vox05_v100_be005_pf3_mp100_ga0,0.2108,0.3824,1.078,0.812,1.419,458,0.936,5.038,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.5,1,100,5,3,0.2,0.2,False
v7,fs025_vox03_v1000_be002_pf1_mp100_ga0,0.211,0.4119,1.01,0.469,1.401,457,0.935,5.042,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.02,0.01,0.0025,0.3,1,100,5,1,0.25,0.2,False
v7,fs015_vox03_v1000_be010_pf1_mp100_ga0,0.2113,0.4476,0.949,0.553,1.571,451,0.923,5.036,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.1,0.01,0.0025,0.3,1,100,5,1,0.15,0.2,False
v6,imhi_v1000_l010_d01_vox05_fs020_ml1,0.2115,0.3941,1.555,0.768,2.241,457,0.936,5.035,1,1,1.5,1.0,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,1,50,5,1,0.2,0.2,True
v6,imhi_v100_l005_d00_vox03_fs020_ml2,0.2117,0.683,1.604,1.75,9.648,460,0.951,5.039,1,1,1.5,1.0,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.0,0.0025,0.3,2,50,5,1,0.2,0.2,True
v5,hi_v100_bhi_l010_d01,0.212,0.5694,2.078,1.14,2.888,457,0.935,5.041,1,1,1.5,1.0,0.005,0.005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,2,50,5,1,0.1,0.2,True
v7,fs015_vox03_v100_be005_pf1_mp100_ga1,0.2122,0.5928,1.61,2.264,33.146,462,0.95,5.038,1,1,0.1,0.1,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,1,0.15,0.2,True
v6,imlo_v1000_l010_d01_vox05_fs005_ml1,0.2138,0.5558,1.534,1.297,22.602,451,0.936,5.039,1,1,0.1,0.1,0.0005,0.0005,30,1000,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.01,0.0025,0.5,1,50,5,1,0.05,0.2,True
v8,fs018_vox030_mp100_ps4_pl4_if50,0.2144,0.6269,1.141,0.692,1.73,460,0.936,5.043,1,1,0.1,0.1,0.0005,0.0005,50,100,4,4,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,100,5,3,0.18,0.2,True
v6,imhi_v100_l010_d00_vox05_fs020_ml1,0.2146,0.5464,1.988,1.294,2.147,458,0.937,5.05,1,1,1.5,1.0,0.0005,0.0005,30,100,8,4,5,0.1,True,0.0,0.0,-0.01,0.02,0.05,0.0,0.0025,0.5,1,50,5,1,0.2,0.2,True
