RosTime,Stream,GTOdomX,GTOdomY,GTOdomZ,GTQX,GTQY,GTQZ,GTQW,GTYaw,VIOX,VIOY,VIOZ,VIOQX,VIOQY,VIOQZ,VIOQW,VIOYaw
1776946023.822674990,VIO,,,,,,,,,1.99936507967,1.09650144696,1.4354441152,0.00727149092839,-0.000254105751562,0.0267061530233,0.999616847717,0.0534135615959
1776946023.828677177,VIO,,,,,,,,,1.99940304624,1.0977264397,1.43613220418,0.00733882595937,-0.000285484546666,0.0278523783085,0.999585066492,0.0557062860466
1776946023.834672928,VIO,,,,,,,,,1.99944108191,1.09894547545,1.43683245691,0.00741916090872,-0.000304611626539,0.0290155198973,0.999551380805,0.0580330862316
1776946023.834672928,GT,2.00082039833,0.999034166336,1.42424845695,0.00602560074884,-0.000526988402733,0.0382939110794,0.999248236135,0.0765988670165,,,,,,,,
1776946023.843675852,VIO,,,,,,,,,1.9994976244,1.10076289404,1.43791014719,0.00754228829628,-0.00035250578436,0.0307901543111,0.999497351685,0.0615829978967
1776946023.849677086,VIO,,,,,,,,,1.99953472495,1.10196440199,1.43864710374,0.0076962453315,-0.000379982437271,0.0319856250846,0.999458625061,0.0639744483875
1776946023.858681202,GT,2.00103616714,0.998173952103,1.43009591103,0.00696053213116,-0.000786254418974,0.048172078962,0.998814502906,0.0963683288928,,,,,,,,
1776946023.858681202,VIO,,,,,,,,,1.99958829365,1.10375483251,1.43977958927,0.0081994143214,-0.000459952913865,0.0338070758476,0.999394636603,0.0676172648909
1776946023.864678860,VIO,,,,,,,,,2.00156144956,1.11274366924,1.44356311927,0.00867021696471,-0.000880515900768,0.0358511208034,0.9993191428,0.0716997745098
1776946023.873677969,VIO,,,,,,,,,1.99890139078,1.11732680324,1.44547654565,0.00884750336531,-0.000684490958566,0.0322274908784,0.999441164846,0.0644515837708
1776946023.879675865,VIO,,,,,,,,,1.99888227526,1.11872824533,1.44635857827,0.00924174488462,-0.000752073821158,0.0334872135404,0.999396133205,0.0669702824653
1776946023.879675865,GT,2.00108361244,0.997920811176,1.43162178993,0.00780731008475,-0.000892925790487,0.0506382175745,0.998686165748,0.101302944811,,,,,,,,
1776946023.888681889,VIO,,,,,,,,,1.99885392386,1.12082032796,1.44771013099,0.00962843429992,-0.00083230591293,0.0354099236387,0.999326141871,0.0708154648309
1776946023.894678116,VIO,,,,,,,,,1.99883274125,1.12220437576,1.44862642543,0.00980720753888,-0.000892988957627,0.0367025790451,0.99927771012,0.0734007449162
1776946023.894678116,GT,2.00108361244,0.997920811176,1.43162178993,0.00780731008475,-0.000892925790487,0.0506382175745,0.998686165748,0.101302944811,,,,,,,,
1776946023.903683186,VIO,,,,,,,,,1.99879951496,1.12426826948,1.45002489755,0.0100021027683,-0.000971907592087,0.0386570183218,0.999202005738,0.0773101720539
1776946023.909680128,VIO,,,,,,,,,1.99877748942,1.12563201331,1.45097169455,0.010170885074,-0.00101404465867,0.0399809731978,0.999148160481,0.0799587002307
1776946023.918682098,VIO,,,,,,,,,2.0001246259,1.14242811439,1.44819744962,0.0110081347749,-0.000835800433184,0.0431277616858,0.99900856782,0.0862588308153
